"Copyright © 2017 BRTDATA.ORG - Downloaded on 2017/11/05";"";"";"";"";""
"";"";"";"";"";""
"Worldwide - Key Indicators per Region";"";"";"";"";""
"Regions";"Passengers per Day";"Number of Cities";"Length (km)";"";""
"Peak frequency, corridor (buses per hour per direction)";"Travel time";"6";"2017";"https://myciti.org.za/en/timetables/route-stop-timetables/?timetable%5Bweekday%5D=thursday&timetable%5Broute_id%5D=1004&timetable%5Bdirection%5D=0";""
"Operating speed, corridor";"Travel time";"";"";"";""
"Express services";"Travel time";"";"";"";""
"Speed limit (km/h)";"Travel time";"";"";"";""
"Real time information, corridor";"Comfort";"All";"2015";"MyCiti";""
"Physically integrated feeders";"Comfort";"";"";"";""
"Total cost per kilometer, corridor (US$ million per km)";"Cost";"";"";"";""
"Planning cost, corridor (US$ million)";"Cost";"";"";"";""
"Infrastructure cost per kilometer, corridor (US$ million per km)";"Cost";"";"";"";""
"User rating, corridor";"Quality of service";"";"";"";""
"Corridor annual fatalities";"Road Safety";"";"";"";""
"";"";"";"";"";""
"Johannesburg - System Indicators";"";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source";""
"GDP per capita (US$)";"General info";"5,692";"2015";"http://databank.worldbank.org/data/reports.aspx?source=2&series=NY.GDP.PCAP.CD&country=";""
"Population, city";"General info";"957,441";"2011";"http://census2011.adrianfrith.com/place/798015";""
"Population, metro area";"General info";"4,434,827";"2011";"http://beta2.statssa.gov.za/?page_id=993&id=city-of-johannesburg-municipality";""
"Population density, metropolitan area";"General info";"2,696";"2011";"http://beta2.statssa.gov.za/?page_id=993&id=city-of-johannesburg-municipality";""
"Modal split % public transport";"General info";"32";"2002";"http://www.joburg.org.za/images/stories/2013/May/CoJ%20SITPF%20Draft%2013%20May%202013.pdf";""
"Modal split % private transport";"General info";"37";"2002";"http://www.joburg.org.za/images/stories/2013/May/CoJ%20SITPF%20Draft%2013%20May%202013.pdf";""
"Modal split % non motorized";"General info";"31";"2002";"http://www.joburg.org.za/images/stories/2013/May/CoJ%20SITPF%20Draft%2013%20May%202013.pdf";""
"System name";"System info";"Rea Vaya";"2015";"";""
"Corridors";"System info";"2";"2013";"Rea Vaya";""
"Year system commenced";"System info";"2009";"";"Rea Vaya";""
"Transit agency";"System info";"Transport Department";"2013";"http://www.joburg.org.za/index.php?option=com_content&task=view&id=1226&Itemid=78&limit=1&limitstart=2#man";""
"Standard fare (US$)";"System info";"0,85";"2015";"http://www.reavaya.org.za/consumer-information/fares";""
"Annual fare revenue (US$ millions)";"System info";"7,47";"";"Calculated using annual demand and fare";""
"Fare integration within the system";"System info";"Yes";"2013";"http://www.reavaya.org.za/consumer-information/ticket-information-";""
"Citywide fare integration (other modes)";"System info";"";"";"";""
"Integration terminals";"System info";"";"";"";""
"Transfer stations";"System info";"";"";"";""
"Peak load (passengers per hour per direction)";"System info";"5,760";"2013";"http://www.embarq.org/sites/default/files/Social,%20Environmental,%20and%20Economic%20Impacts%20of%20Bus%20Rapid%20Transit%20(PDF).pdf";""
"Daily demand (passengers per day)";"System info";"42,000";"2013";"Rea Vaya";""
"Annual demand (passengers per year)";"System info";"12,600,000";"2013";"Calculated using daily demand and 300 working days";""
"Capital productivity (boardings per bus per day)";"System info";"400";"2013";"http://www.embarq.org/sites/default/files/Social,%20Environmental,%20and%20Economic%20Impacts%20of%20Bus%20Rapid%20Transit%20(PDF).pdf";""
